                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0575,                 1.2664,                0.91249,                0.97635,                0.81481,                0.90557,                0.66475,                0.81243,                0.82401,                0.81152,             0.00066169,             0.00066169,             0.00066169
                      2,                0.77511,                0.67479,                0.85004,                0.91748,                0.81835,                0.88256,                0.69004,                0.69358,                0.67759,                0.79012,              0.0013152,              0.0013152,              0.0013152
                      3,                0.74199,                0.62626,                 0.8442,                0.97281,                 0.8905,                0.94779,                0.75291,                0.62419,                0.56695,                 0.7823,              0.0019555,              0.0019555,              0.0019555
                      4,                0.70403,                0.57562,                0.83578,                0.94129,                0.90443,                0.93698,                0.71943,                0.67038,                0.56428,                0.78641,              0.0019406,              0.0019406,              0.0019406
                      5,                0.67328,                0.54192,                0.83021,                0.95548,                0.90431,                0.92568,                0.75589,                0.62766,                0.50923,                0.78305,              0.0019406,              0.0019406,              0.0019406
                      6,                0.61773,                0.50273,                 0.8233,                0.96443,                0.84633,                0.89559,                 0.7116,                0.60139,                0.49241,                0.78139,              0.0019208,              0.0019208,              0.0019208
                      7,                 0.5933,                0.47858,                0.82012,                0.94448,                0.92471,                0.93982,                0.76488,                0.60292,                0.47412,                0.77437,               0.001901,               0.001901,               0.001901
                      8,                0.59276,                0.45921,                 0.8177,                0.93776,                0.91268,                0.94517,                0.77606,                0.56537,                0.44734,                0.76886,              0.0018812,              0.0018812,              0.0018812
                      9,                 0.5339,                0.42536,                0.81477,                0.93768,                0.90658,                0.94551,                0.79365,                0.53944,                0.43654,                0.76887,              0.0018614,              0.0018614,              0.0018614
                     10,                0.53064,                0.41342,                0.80886,                0.93789,                0.92286,                0.95205,                0.78466,                0.53052,                0.40796,                0.76568,              0.0018416,              0.0018416,              0.0018416
                     11,                0.50216,                0.39217,                0.80585,                0.93048,                0.90933,                0.94632,                0.76588,                0.54493,                 0.4132,                0.77195,              0.0018218,              0.0018218,              0.0018218
                     12,                0.49779,                0.38825,                0.80449,                 0.9593,                0.94061,                0.96055,                0.77759,                0.53501,                0.41124,                0.76531,               0.001802,               0.001802,               0.001802
                     13,                0.51989,                 0.3854,                0.80644,                 0.9438,                0.93354,                 0.9563,                0.80918,                0.53836,                  0.428,                 0.7677,              0.0017822,              0.0017822,              0.0017822
                     14,                0.48794,                0.36833,                0.80722,                0.93955,                0.91877,                0.95329,                0.82357,                0.52281,                0.44105,                0.76627,              0.0017624,              0.0017624,              0.0017624
